System Time:,Simulation Time:,Generation,SPEED,SpeedMutationType,SpeedMutationProbability,SpeedMutationMinMaxChange,SpeedCominantRecessiveInheritancePriority,SpeedDominantOriginal,SpeedRecessiceOriginal,SpeedMutationValue,SpeedMutationResult,SpeedDominant,SpeedRecessice,SpeedFather,SpeedMother,SpeedComparedToFather,SpeedComparedToMother,METABOLISM,MetabolismMutationType,MetabolismMutationProbability,MetabolismMutationMinMaxChange,MetabolismCominantRecessiveInheritancePriority,MetabolismDominantOriginal,MetabolismRecessiceOriginal,MetabolismMutationValue,MetabolismMutationResult,MetabolismDominant,MetabolismRecessice,MetabolismFather,MetabolismMother,MetabolismComparedToFather,MetabolismComparedToMother,REPRODUCTIONRATE,ReproductionRateMutationType,ReproductionRateMutationProbability,ReproductionRateMutationMinMaxChange,ReproductionRateCominantRecessiveInheritancePriority,ReproductionRateDominantOriginal,ReproductionRateRecessiceOriginal,ReproductionRateMutationValue,ReproductionRateMutationResult,ReproductionRateDominant,ReproductionRateRecessice,ReproductionRateFather,ReproductionRateMother,ReproductionRateComparedToFather,ReproductionRateComparedToMother,ATTRIBUTES AT NEWBORN,Speed,Hunger,Thirst,ViewRadius,PregnancyTime
0.253252314814815,430.0836,1,SPEED,Random,1,-0.25_0.25,Bigger,0,-0.1190004,0.05274048,Dominant and Recessive,0.05274048,-0.06625992,0,-0.1190004,0.05274048,0.1717409,METABOLISM,Random,1,-0.1_0.1,Lower,-0.01862444,0.07753641,0.09302742,Recessive,-0.01862444,0.1705638,-0.01862444,0.07753641,0,-0.09616085,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,-0.07876085,-0.01795061,-0.1100473,None,-0.07876085,-0.01795061,-0.07876085,-0.01795061,0,-0.06081024,ATTRIBUTES,3.052741,0.9813756,0.9813756,20,114.9212
0.253252314814815,430.0836,1,SPEED,Random,1,-0.25_0.25,Bigger,0,-0.1190004,0.1566268,Recessive,0,0.03762636,0,-0.1190004,0,0.1190004,METABOLISM,Random,1,-0.1_0.1,Lower,-0.01862444,0.07753641,0.09359195,Recessive,-0.01862444,0.1711284,-0.01862444,0.07753641,0,-0.09616085,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,-0.07876085,-0.01795061,-0.03889731,Recessive,-0.07876085,-0.05684792,-0.07876085,-0.01795061,0,-0.06081024,ATTRIBUTES,3,0.9813756,0.9813756,20,114.9212
0.253252314814815,430.3836,1,SPEED,Random,1,-0.25_0.25,Bigger,0.1770945,0,0.1418053,Dominant,0.3188998,0,0,0.1770945,0.3188998,0.1418053,METABOLISM,Random,1,-0.1_0.1,Lower,0,0,0.09597602,Dominant and Recessive,0.09597602,0.09597602,0,0,0.09597602,0.09597602,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,0,0.1273459,-0.1834407,None,0,0.1273459,0,0.1273459,0,-0.1273459,ATTRIBUTES,3.3189,1.095976,1.095976,20,115
0.253252314814815,430.3836,1,SPEED,Random,1,-0.25_0.25,Bigger,0.1770945,0,-0.2069482,Dominant,-0.02985376,0,0,0.1770945,-0.02985376,-0.2069482,METABOLISM,Random,1,-0.1_0.1,Lower,0,0,-0.06309557,Dominant and Recessive,-0.06309557,-0.06309557,0,0,-0.06309557,-0.06309557,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,0,0.1273459,0.05668239,Recessive,0,0.1840283,0,0.1273459,0,-0.1273459,ATTRIBUTES,2.970146,0.9369044,0.9369044,20,115
0.253252314814815,430.3836,1,SPEED,Random,1,-0.25_0.25,Bigger,0,0,0.1599745,Dominant and Recessive,0.1599745,0.1599745,0,0,0.1599745,0.1599745,METABOLISM,Random,1,-0.1_0.1,Lower,-0.02579533,0,-0.09454932,Recessive,-0.02579533,-0.09454932,-0.02579533,0,0,-0.02579533,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,-0.07019989,0,0.0340803,None,-0.07019989,0,-0.07019989,0,0,-0.07019989,ATTRIBUTES,3.159975,0.9742047,0.9742047,20,114.9298
0.253252314814815,430.3836,1,SPEED,Random,1,-0.25_0.25,Bigger,0,0,-0.08840027,None,0,0,0,0,0,0,METABOLISM,Random,1,-0.1_0.1,Lower,-0.02579533,0,0.08591383,Dominant and Recessive,0.0601185,0.08591383,-0.02579533,0,0.08591383,0.0601185,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,-0.07019989,0,0.1230386,Recessive,-0.07019989,0.1230386,-0.07019989,0,0,-0.07019989,ATTRIBUTES,3,1.060119,1.060119,20,114.9298
0.253263888888889,430.9836,1,SPEED,Random,1,-0.25_0.25,Bigger,0.2068455,0,0.1170772,Recessive,0.2068455,0.1170772,0.2068455,0.05707642,0,0.149769,METABOLISM,Random,1,-0.1_0.1,Lower,-0.0496676,0.05389273,0.08296752,Recessive,-0.0496676,0.1368603,-0.0496676,0,0,-0.0496676,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,-0.03948462,0.07027692,-0.00132902,None,-0.03948462,0.07027692,0.07027692,0,-0.1097615,-0.03948462,ATTRIBUTES,3.206846,0.9503324,0.9503324,20,114.9605
0.253263888888889,430.9836,1,SPEED,Random,1,-0.25_0.25,Bigger,0.2068455,0,0.1714666,Dominant,0.3783121,0,0.2068455,0.05707642,0.1714666,0.3212357,METABOLISM,Random,1,-0.1_0.1,Lower,-0.0496676,0.05389273,0.04568055,Dominant and Recessive,-0.003987059,0.09957328,-0.0496676,0,0.04568055,-0.003987059,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,-0.03948462,0.07027692,0.009360865,Recessive,-0.03948462,0.07963779,0.07027692,0,-0.1097615,-0.03948462,ATTRIBUTES,3.378312,0.9960129,0.9960129,20,114.9605
0.253275462962963,431.8836,1,SPEED,Random,1,-0.25_0.25,Bigger,0,-0.05611858,0.07341092,Dominant and Recessive,0.07341092,0.01729234,0,-0.05611858,0.07341092,0.1295295,METABOLISM,Random,1,-0.1_0.1,Lower,-0.0636831,0,-0.0272636,Dominant,-0.0909467,0,0,-0.0636831,-0.0909467,-0.0272636,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,-0.1947573,-0.0533333,-0.1014966,Dominant and Recessive,-0.2962539,-0.1548299,-0.1947573,-0.0533333,-0.1014966,-0.2429206,ATTRIBUTES,3.073411,0.9090533,0.9090533,20,114.7037
0.253275462962963,431.8836,1,SPEED,Random,1,-0.25_0.25,Bigger,0,-0.05611858,0.2095966,Recessive,0,0.1534781,0,-0.05611858,0,0.05611858,METABOLISM,Random,1,-0.1_0.1,Lower,-0.0636831,0,0.08873206,Dominant,0.02504896,0,0,-0.0636831,0.02504896,0.08873206,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,-0.1947573,-0.0533333,0.1156019,Dominant and Recessive,-0.07915542,0.06226861,-0.1947573,-0.0533333,0.1156019,-0.02582211,ATTRIBUTES,3,1.025049,1.025049,20,114.9208
